iter	RMSE
0	8.702789378
1	8.114402627
2	7.710368876
3	7.436467242
4	7.232013292
5	7.101030137
6	7.00147694
7	6.930860549
8	6.883650263
9	6.854460519
10	6.828079746
11	6.806551567
12	6.788334714
13	6.773465015
14	6.765244385
15	6.755988667
16	6.743470334
17	6.735770313
18	6.732742552
19	6.726064517
20	6.722661942
21	6.717190643
22	6.707028365
23	6.701705926
24	6.696148792
25	6.68886453
26	6.684944573
27	6.680956145
28	6.678637039
29	6.674137811
30	6.670465641
31	6.666024733
32	6.663365644
33	6.660272761
34	6.658986898
35	6.654333589
36	6.65253588
37	6.64974517
38	6.646879155
39	6.646251693
40	6.64445412
41	6.64190425
42	6.640213717
43	6.637877305
44	6.635963812
45	6.632477477
46	6.6308287
47	6.629388679
48	6.628337137
49	6.627632421
50	6.626043099
51	6.62413991
52	6.62328777
53	6.620715738
54	6.62006511
55	6.618588105
56	6.616269494
57	6.614306323
58	6.61194807
59	6.610005211
60	6.60839315
61	6.606382957
62	6.604917474
63	6.603380897
64	6.60186591
65	6.600479737
66	6.599156366
67	6.597309851
68	6.596069851
69	6.594002452
70	6.592851604
71	6.592303151
72	6.590399208
73	6.58888031
74	6.588049268
75	6.586288724
76	6.585170951
77	6.583731495
78	6.581985032
79	6.581270646
80	6.5802065
81	6.578693144
82	6.576992232
83	6.575416162
84	6.57430995
85	6.574000375
86	6.571920344
87	6.570807905
88	6.569588535
89	6.568345649
90	6.567417635
91	6.567252718
92	6.566090369
93	6.56518935
94	6.564782341
95	6.564168177
96	6.562758075
97	6.56197728
98	6.560782809
99	6.559516328
