iter	Passed	Remaining
0	10	1027
1	17	833
2	23	766
3	29	717
4	36	685
5	43	686
6	50	667
7	59	682
8	65	663
9	74	666
10	81	657
11	89	653
12	95	640
13	102	628
14	110	628
15	117	617
16	124	608
17	130	593
18	136	582
19	143	574
20	149	563
21	156	555
22	163	546
23	170	540
24	176	530
25	183	520
26	189	513
27	196	504
28	202	494
29	208	487
30	215	479
31	223	474
32	230	467
33	238	463
34	245	456
35	255	454
36	262	447
37	271	442
38	277	434
39	285	428
40	292	421
41	300	414
42	308	408
43	316	402
44	323	395
45	330	387
46	336	379
47	341	370
48	346	360
49	352	352
50	358	344
51	365	337
52	371	329
53	377	321
54	384	314
55	391	307
56	399	301
57	406	294
58	413	287
59	420	280
60	426	272
61	433	265
62	439	258
63	446	250
64	452	243
65	459	236
66	468	230
67	475	223
68	489	219
69	503	215
70	510	208
71	518	201
72	525	194
73	533	187
74	541	180
75	550	173
76	557	166
77	566	159
78	574	152
79	582	145
80	588	138
81	596	130
82	604	123
83	611	116
84	618	109
85	624	101
86	631	94
87	641	87
88	648	80
89	655	72
90	662	65
91	668	58
92	675	50
93	682	43
94	688	36
95	696	29
96	702	21
97	710	14
98	717	7
99	725	0
